Station;Travelers_per_day;Getting_on_off;Switchers;Direction_to;Travelers_to
Amsterdam Zuid;n/a;n/a;n/a;Amsterdam RAI;n/a
Amsterdam RAI;n/a;n/a;n/a;Duivendrecht aansluiting west;n/a
Duivendrecht aansluiting west;n/a;n/a;n/a;Duivendrecht;n/a
Duivendrecht;n/a;n/a;n/a;Diemen Zuid;n/a
Diemen Zuid;n/a;n/a;n/a;Weesp;n/a
Weesp;n/a;n/a;n/a;Muiderberg aansluiting;n/a
Muiderberg aansluiting;n/a;n/a;n/a;Almere Poort;n/a
Almere Poort;n/a;n/a;n/a;Almere Muziekwijk;n/a
Almere Muziekwijk;n/a;n/a;n/a;Almere Centrum;n/a
Almere Centrum;n/a;n/a;n/a;Almere Parkwijk;n/a
Almere Parkwijk;n/a;n/a;n/a;Almere Buiten;n/a
Almere Buiten;n/a;n/a;n/a;Almere Oostvaarders;n/a
Almere Oostvaarders;n/a;n/a;n/a;Lelystad Centrum;n/a
Lelystad Centrum;n/a;n/a;n/a;Emmeloord;n/a
Emmeloord;n/a;n/a;n/a;Heerenveen;n/a
Heerenveen;n/a;n/a;n/a;Akkrum;n/a
Akkrum;n/a;n/a;n/a;Grou-Jirnsum;n/a
Grou-Jirnsum;n/a;n/a;n/a;Leeuwarden;n/a
Leeuwarden;n/a;n/a;n/a;Grou-Jirnsum;n/a
Grou-Jirnsum;n/a;n/a;n/a;Akkrum;n/a
Akkrum;n/a;n/a;n/a;Heerenveen;n/a
Heerenveen;n/a;n/a;n/a;Emmeloord;n/a
Emmeloord;n/a;n/a;n/a;Lelystad Centrum;n/a
Lelystad Centrum;n/a;n/a;n/a;Almere Oostvaarders;n/a
Almere Oostvaarders;n/a;n/a;n/a;Almere Buiten;n/a
Almere Buiten;n/a;n/a;n/a;Almere Parkwijk;n/a
Almere Parkwijk;n/a;n/a;n/a;Almere Centrum;n/a
Almere Centrum;n/a;n/a;n/a;Almere Muziekwijk;n/a
Almere Muziekwijk;n/a;n/a;n/a;Almere Poort;n/a
Almere Poort;n/a;n/a;n/a;Muiderberg aansluiting;n/a
Muiderberg aansluiting;n/a;n/a;n/a;Weesp;n/a
Weesp;n/a;n/a;n/a;Diemen Zuid;n/a
Diemen Zuid;n/a;n/a;n/a;Duivendrecht;n/a
Duivendrecht;n/a;n/a;n/a;Duivendrecht aansluiting west;n/a
Duivendrecht aansluiting west;n/a;n/a;n/a;Amsterdam RAI;n/a
Amsterdam RAI;n/a;n/a;n/a;Amsterdam Zuid;n/a
Heerenveen;n/a;n/a;n/a;Drachten;n/a
Drachten;n/a;n/a;n/a;Groningen;n/a
Groningen;n/a;n/a;n/a;Drachten;n/a
Drachten;n/a;n/a;n/a;Heerenveen;n/a
