Station;Travelers_per_day;Getting_on_off;Switchers;Direction_to;Travelers_to
Groningen;16064;16064;0;Groningen Europapark;8000
Groningen;16064;16064;0;Groningen Noord;n/a
Groningen;16064;16064;0;Zuidhorn;n/a
Groningen Europapark;1705;1705;0;Haren;9000
Groningen Europapark;1705;1705;0;Groningen;8000
Groningen Europapark;1705;1705;0;Kropswolde;n/a
Haren;1104;1104;0;Groningen Europapark;8000
Haren;1104;1104;0;Assen;9000
Assen;7548;7440;108;Haren;8000
Assen;7548;7440;108;Beilen;9000
Beilen;1824;1824;0;Assen;8000
Beilen;1824;1824;0;Hoogeveen;9000
Hoogeveen;3782;3782;0;Beilen;8000
Hoogeveen;3782;3782;0;Meppel;9000
Meppel;6386;5768;618;Zwolle;14000
Meppel;6386;5768;618;Hoogeveen;9000
Meppel;6386;5768;618;Steenwijk;5000
Leeuwarden;7705;7705;0;Grou-Jirnsum;4000
Leeuwarden;7705;7705;0;Leeuwarden Camminghaburen;n/a
Leeuwarden;7705;7705;0;Mantgum;n/a
Leeuwarden;7705;7705;0;Deinum;n/a
Grou-Jirnsum;727;727;0;Leeuwarden;4000
Grou-Jirnsum;727;727;0;Akkrum;4000
Akkrum;769;769;0;Grou-Jirnsum;4000
Akkrum;769;769;0;Heerenveen;4000
Heerenveen;5001;4970;31;Akkrum;4000
Heerenveen;5001;4970;31;Wolvega;4000
Wolvega;1394;1394;0;Steenwijk;4000
Wolvega;1394;1394;0;Heerenveen;4000
Steenwijk;3007;2958;49;Meppel;5000
Steenwijk;3007;2958;49;Wolvega;4000
Zwolle;42976;33802;9174;Meppel;14000
Zwolle;42976;33802;9174;Wezep;10000
Zwolle;42976;33802;9174;Kampen Zuid;8000
Zwolle;42976;33802;9174;Wijhe;4000
Zwolle;42976;33802;9174;Heino;n/a
Zwolle;42976;33802;9174;Dalfsen;n/a
Kampen Zuid;1618;1618;0;Zwolle;8000
Kampen Zuid;1618;1618;0;Dronten;8000
Dronten;2931;2931;0;Lelystad Centrum;8000
Dronten;2931;2931;0;Kampen Zuid;8000
Lelystad Centrum;12592;11076;1516;Almere Oostvaarders;11000
Lelystad Centrum;12592;11076;1516;Dronten;8000
Lelystad Centrum;12592;11076;1516;Lelystad Opstel;n/a
Almere Oostvaarders;3478;3478;0;Lelystad Centrum;11000
Almere Oostvaarders;3478;3478;0;Almere Buiten;12000
Almere Buiten;4679;4574;105;Almere Oostvaarders;12000
Almere Buiten;4679;4574;105;Almere Parkwijk;14000
Almere Parkwijk;1834;1834;0;Almere Buiten;14000
Almere Parkwijk;1834;1834;0;Almere Centrum;14000
Almere Centrum;26979;20873;6106;Almere Parkwijk;14000
Almere Centrum;26979;20873;6106;Almere Muziekwijk;21000
Almere Muziekwijk;4217;4215;2;Almere Centrum;21000
Almere Muziekwijk;4217;4215;2;Almere Poort;22000
Almere Poort;5925;5428;497;Almere Muziekwijk;22000
Almere Poort;5925;5428;497;Muiderberg aansluiting;23000
Muiderberg aansluiting;n/a;n/a;n/a;Almere Poort;23000
Muiderberg aansluiting;n/a;n/a;n/a;Weesp;20000
Weesp;13907;8985;4922;Diemen Zuid;21000
Weesp;13907;8985;4922;Diemen;20000
Weesp;13907;8985;4922;Muiderberg aansluiting;20000
Weesp;13907;8985;4922;Naarden-Bussum aansluiting;19000
Naarden-Bussum aansluiting;n/a;n/a;n/a;Weesp;19000
